Recipe_ID,Category,Recipe_Name,Preparation_Time,Cooking_Time,Image URL,Description,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
181,katsu-curry-recipes,cheats-katsu-curry,15 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cheats-katsu-curry_0-d211563.jpg?quality=90&resize=440,400","Transform ready-made breaded chicken steaks into a speedy Japanese-style supper with a spicy, nutty curry sauce",499,31,6,33,9,4,21,3.4
182,katsu-curry-recipes,chicken-katsu,10 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-928562_10-202f708.jpg?quality=90&resize=440,400",Katsu is a Japanese method of breadcrumbing chicken- this version is served with a rich curry sauce,319,5,1,36,13,0,34,2
184,katsu-curry-recipes,lighter-chicken-katsu,30 mins,50 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/katsu-24aa307.jpg?quality=90&resize=440,400",Angela Nilsen makes this Japanese crumbed chicken dish with curry sauce healthier by using some clever swaps to slash the fat and calories,529,10.5,1.2,61.3,8.6,3.5,44.3,1.3
185,katsu-curry-recipes,katsu-sandos,10 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/katsu-sandos-0bfe4a7.jpg?quality=90&resize=440,400",Our cheat's Japanese katsu sando with crunchy slaw is the ultimate lunch treat. We love the combination of crispy chicken and soft white bread,672,29,3,74,20,4,26,2.4
186,katsu-curry-recipes,prawn-katsu-burgers,30 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/prawn-katsu-burgers-f39d241.jpg?quality=90&resize=440,400","A twist on the beloved fish finger sandwich with tasty, breadcrumbed prawn patty, chilli mayo and coleslaw - a marriage made in heaven",1070,74,12,68,13,6,30,2.8
187,katsu-curry-recipes,chip-shop-curry-sauce,20 mins,1 hr,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chip_shop_curry_sauce-fff6afb-scaled.jpg?quality=90&resize=556,505",A homemade chip shop curry sauce will rival that of any takeaway – and it's not just for chips. You could use it to make katsu curry,124,6,3,13,8,3,3,0.3
188,scandinavian-recipes,scandi-smoked-mackerel-rye,20 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-smoked-mackerel-on-rye-e9fa86e-scaled.jpg?quality=90&resize=556,505","Open sandwiches make a lovely light lunch or dinner - try topping dark rye bread with Scandinavian-style fish, crème fraîche and tomatoes",406,17,5,44,12,8,16,2.1
189,scandinavian-recipes,scandi-trout-fennel-potato-salad,15 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-trout-with-fennel-potato-salad-be2f059.jpg?quality=90&resize=440,400",This low-calorie Scandinavian-style fish dish with a mustard and honey glaze is served with a light and creamy potato side,437,18,6,34,7,7,30,0.4
190,scandinavian-recipes,princess-cake,2 hrs,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/09/SEO8dortprincezna0-7b9f11b.jpg?quality=90&resize=556,505","This showstopping Scandinavian torte features layers of sponge cake with jam, custard and cream, all covered in green marzipan. Bake it for a special occasion or afternoon tea.",1360,67,32,166,129,3,21,1
191,scandinavian-recipes,soused-mackerel-creme-fraiche-capers,10 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-872605_11-4e5e829.jpg?quality=90&resize=440,400",James Martin's version of this authentic Scandinavian dish of 24 hour-marinated fish,672,48,14,9,7,2,49,1.8
192,scandinavian-recipes,scandi-salmon-pie,45 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-salmon-pie-343eb27.jpg?quality=90&resize=440,400",This savoury picnic slice can be assembled ready to cook up to a day before - practical and impressive!,600,34,15,47,7,4,24,1.6
193,scandinavian-recipes,super-quick-scandi-supper,15 mins,5 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-725476_11-359fb41.jpg?quality=90&resize=440,400","Whip up this stylish, Scandinavian platter and let your friends help themselves",504,11,2,68,13,7,37,2.68
194,scandinavian-recipes,scandi-smoked-salmon-potatoes,15 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-25316_11-c64d5a6.jpg?quality=90&resize=440,400","Inspired by gravadlax, these little bites with a fresh, fragrant sauce are a great appetizer",291,19,5,17,5,1,15,2.63
195,scandinavian-recipes,scandi-salmon-salad,15 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salmon_0-9bf2de4.jpg?quality=90&resize=440,400","A light and fresh fish dish dressed with a dill, parsley and mustard sauce- radishes and red onion give extra texture and flavour",526,26,10,41,8,4,31,1
196,scandinavian-recipes,scandi-style-sausage-hash-pickled-beetroot,20 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-1156ab9.jpg?quality=90&resize=440,400","Stick on the frying pan and rustle up this Scandinavian-inspired solo supper with egg, potatoes and sweet pickles",829,51,14,66,24,9,27,3.2
197,scandinavian-recipes,brown-butter-boxty-blinis,20 mins,1 hr and 45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/04/Brown-butter-boxty-blinis-f52653d.jpg?quality=90&resize=556,505",Transform boxty (Irish pancakes) into blinis topped with smoked trout. Ireland meets Eastern Europe by way of Scandinavia – a perfect mash-up for Eurovision!,82,6,3,5,1,0.4,2,0.3
198,scandinavian-recipes,scandi-meatballs,5 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-meatballs-5b9e092.jpg?quality=90&resize=440,400",Put mushroom soup to clever use in this Scandinavian-style beef meatball dish with dill sauce,302,23,8,8,4,1,16,2.5
199,scandinavian-recipes,scandi-smoked-salmon,10 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1155495_11-29b23c1.jpg?quality=90&resize=440,400","Try a Scandinavian approach to your smoked fish by adding dill, horseradish, lemon and red onion - great as part of a sharing platter",133,8,4,3,2,1,14,2.5
200,scandinavian-recipes,scandi-beetroot-salmon-pasta,10 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-beetroot-salmon-pasta-c1efdcb.jpg?quality=90&resize=440,400",Eat well at work with this easy-to-prepare Scandinavian-inspired beetroot and salmon fusilli salad. It'll keep you going through the afternoon,453,18,3,43,13,11,24,0.9
201,scandinavian-recipes,scandi-cheese-crackers,10 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-133480_12-11407b3.jpg?quality=90&resize=440,400",This healthy snack is perfect for combating the 4 o'clock slump,0,0,0,0,0,0,0,0
202,scandinavian-recipes,scandinavian-roast-turkey-prune-juniper-stuffing-caramelised-apples,35 mins,3 hrs and 25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-833465_11-7a81df8.jpg?quality=90&resize=440,400",Adding lingonberry jam or redcurrant sauce to your Turkey cooking juices gives traditional gravy a touch of sweetness,930,41,17,46,23,5,95,1.64
203,scandinavian-recipes,scandi-style-flatbread,5 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-style-flatbread-dc1ed9e.jpg?quality=90&resize=440,400","Top these Scandinavian-inspired flatbreads with poached salmon, beetroot, capers, cucumber and yogurt for a quick and easy lunch or supper",619,24,6,60,12,5,39,1.6
204,scandinavian-recipes,scandi-goats-cheese-sweet-potato-coulibiac,50 mins,1 hr,"https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Scandi-goats-cheese-sweet-potato-coulibiac-7b51d5a.jpg?quality=90&resize=556,505","Impress guests with our festive goat’s cheese, sweet potato and cranberry pie. Delicious hot or cold, it works equally well at buffets or dinner parties",749,44,27,70,12,6,15,1.1
205,scandinavian-recipes,scandi-style-oysters,5 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-style-oyster-9492a30.jpg?quality=90&resize=556,505","Serve up a fresh batch of oysters topped with capers, dill and zingy lemon juice for a light dish everyone will enjoy. Try it as a special seafood starter",28,1,0.1,0.4,0.4,0.5,5,0.64
206,scandinavian-recipes,gratin-fresh-smoked-salmon-beetroot-potatoes-dill,25 mins,1 hr and 25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/gratin-of-fresh-smoked-salmon-beetroot-potatoes-dill-bfce5d4.jpg?quality=90&resize=440,400","Impress family and friends with our Scandinavian-inspired gratin with salmon, beetroot, potatoes and dill; a comforting bake that's perfect for entertaining",641,49,25,25,8,3,24,1
207,scandinavian-recipes,classic-swedish-meatballs,15 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/classic_swedish_meatballs-ac09f9c.jpg?quality=90&resize=500,454",Recreate the meatballs you've enjoyed on furniture shopping trips at home. Our quick and easy Swedish meatballs use lean pork and dill for flavouring.,301,13,4,22,2,1,26,1.73
208,scandinavian-recipes,apple-cream-and-cardamom-surprise,10 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/maidens-in-the-mist-3023a23.jpg?quality=90&resize=440,400","Combine layers of stewed apple, cardamon-flavoured rye breadcrumbs and whipped cream in this Scandinavian-inspired dessert that's fabulous for a dinner party",534,33,19,53,43,3,4,0.4
209,scandinavian-recipes,glogg,5 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/glogg-d49da41.jpg?quality=90&resize=440,400","Serve our warming winter glögg at a festive party or on a cosy night in. Combining red wine, orange zest, dried fruit and spices, this traditional Scandinavian drink is like Christmas in a cup",219,3,0.2,24,24,0.2,2,0.03
210,scandinavian-recipes,mustardy-salmon-beetroot-lentils,10 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mustardy-salmon-with-beetroot-lentils-e474ded.jpg?quality=90&resize=440,400","Cook a delicious gluten-free dinner in 20 minutes. Our Scandi-style salmon is served with beetroot, lentils, pumpkin seeds, capers, mustard and dill",875,49,12,42,14,15,58,2.5
211,scandinavian-recipes,cured-pollack-dill-cream-radish-salad,20 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cured-pollack-with-dill-cream-radish-salad-b9c5af1.jpg?quality=90&resize=440,400","Tom Kerridge's elegant Scandinavian-style seafood starter, similar to the salmon dish gravadlax, is sure to impress at any dinner party",463,37,11,5,4,1,27,2.6
212,german-recipes,sweet-german-dumplings,30 mins,50 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/dumpfel-2-f7f6a3c.jpg?quality=90&resize=440,400","Dessert German-style, these little dumplings, or 'dampfnudel', can be sweet or savoury. Ours are poached to perfection and bathed in vanilla custard - a comfort-food classic",528,20,12,74,35,2,11,0.3
213,german-recipes,black-forest-gateau,40 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-989514_11-d556a50.jpg?quality=90&resize=440,400",Impress your guests with this chocolate and cherry layered cream cake. Our easy Black Forest gateau is a revamped version of a retro classic.,859,49,3029.9,94,74,3,7,0.7
214,german-recipes,red-berry-fruit-compote-german-rote-grutze,5 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/red-berry-compote-4464838.jpg?quality=90&resize=440,400","This light, fruity dessert is a German summertime staple - a mixed berry compote with custard. The fruity mix is ideal as a topping for granola or stirred through ice cream",171,2,2,33,24,1,3,0.1
215,german-recipes,german-cheese-bacon-pancakes,10 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/german-cheese-and-bacon-pancakes-4733b2d.jpg?quality=90&resize=440,400","Be inspired by the flavours of Flammkuchen and top pancakes with smoked bacon, shallots and melted cheese to serve for Shrove Tuesday or as your next family supper.",545,44,22,17,5,2,18,2.01
217,german-recipes,schmarren-with-raisins,10 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Schmarren-with-raisins-0af34f5.jpg?quality=90&resize=556,505","Enjoy Diana Henry's take on the fluffy shredded German pancakes, schmarren. With added raisins and rum, it's utterly delicious served with cream",680,22,11,88,40,4,20,0.6
219,german-recipes,black-forest-tart,45 mins,50 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/may-black-forest-tart-2b997fc-scaled.jpg?quality=90&resize=556,505","Sweet cocoa pastry is filled with a rich, fruity filling of chocolate and cherries in this heavenly German gateau-inspired dessert",382,22,10,38,17,2.7,6,0.5
220,german-recipes,sausages-braised-cabbage-caraway,5 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sausages-with-braised-cabbage-and-caraway-a546e2c.jpg?quality=90&resize=440,400",Caraway seeds add a sweetly aromatic note to the onion cream sauce in this German-inspired sausage and mash dinner,507,38,16,21,12,5,18,2.7
222,german-recipes,christmas-stollen-almonds-and-marzipan,1 hr and 25 mins,1 hr and 15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/christmas-stollen-with-almonds-and-marzipan-ab0943d.jpg?quality=90&resize=440,400","Nothing says Christmas like stollen with marzipan. It's a cinch to make, although it does take some time – think of it as a weekend project with the kids",190,4,1,34,15,1,4,0
224,german-recipes,stollen-muffins,20 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/stollen-muffins-081a1d9.jpg?quality=90&resize=440,400","These little cakes are filled with all the festive, fruity flavours of this classic German Christmas bake - ideal for Christmas morning or a teatime treat",315,15,5,37,22,2,7,0.4
225,german-recipes,spiced-stollen-plait,50 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/spiced-stollen-plait-3ccba77.jpg?quality=90&resize=556,505","This pretty twist on a classic German Christmas bake is lightly spiced, filled with mixed dried fruit and marzipan, then dusted with icing sugar",330,11,4,47,26,2,7,0.3
226,german-recipes,klump,15 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/klump-d357673.jpg?quality=90&resize=440,400","Try this German-inspired dish, packed with potatoes, bacon, pears and kale. It's a great way to get through leftovers – swap the bacon for ham if preferred",651,16,8,40,9,5,10,1
227,german-recipes,ham-cheese-dutch-baby-pancake,15 mins,35 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/dutch-baby-7306e62.jpg?quality=90&resize=440,400","Revamp the Yorkshire pudding and create a savoury Dutch baby pancake, filled with ham, cheese and broccoli. Serve with our mustardy sauce dolloped on top",683,39,20,45,6,3,37,3.3
228,german-recipes,dutch-baby-pancake-drunken-cherries,20 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/dutch-baby-pancake-with-drunken-cherries-e93ead2.jpg?quality=90&resize=440,400","These puffed up beauties are actually a sweet version of a Yorkie and are of German origin. Normally eaten for breakfast, make them dessert with boozy, syrupy cherries and ice cream",357,13,3,45,27,1,9,0.2
229,german-recipes,baumkuchen,30 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2021/10/Baumkuchen-84f48be.jpg?quality=90&resize=556,505","Try your hand at making our version of German baumkuchen. Popular at Christmas, it’s also known as ‘tree cake’ because of the rings you'll see when you cut into it",490,34,19,40,26,1,6,0.5
230,german-recipes,zimtsterne-cinnamon-stars,30 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cinnamon-stars-1b1c6e1.jpg?quality=90&resize=440,400","Edd Kimber creates a version of these German spiced cookies- they're chewy, crisp and similar to an almond macaroon",78,5,0,7,7,1,2,0
231,german-recipes,simple-sauerkraut,30 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sauerkraut-2-83e6e89.jpg?quality=90&resize=440,400",Try the simplest way to make classic sauerkraut using raw cabbage. This fermented food is great for your gut and goes very well with sausages and mustard,33,0,0,5,5,3,1,2.1
233,german-recipes,lebkuchen,15 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-444555_10-0e177a4.jpg?quality=90&resize=440,400","A German biscuit similar to gingerbread, lebkuchen is easy to make and a great Christmas treat",102,4,2,16,9,0.5,2,0.16
234,german-recipes,stollen-spirals,45 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1143519_10-0303fb9.jpg?quality=90&resize=440,400",Bake a batch of these sweet German buns over Christmas and enjoy at breakfast or teatime... or both,467,13,5,80,41,3,9,0.4
235,german-recipes,stollen-wreath-cake,1 hr,50 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/stollen-wreath-70aa11b.jpg?quality=90&resize=440,400",The sweet German fruit and marzipan loaf recipe is adapted into a gorgeous wreath cake with decorative fondant holly icing and almond marzipan,667,27,11,96,85,2,8,0.5
236,mexican-recipes,huevos-rancheros,10 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/huevos-rancheros-72f825a.jpg?quality=90&resize=440,400","Enjoy this Mexican-inspired vegetarian brunch of egg, tomato, avocado, kidney beans and cheese, on top of tortilla. It's spicy, filling and full of flavour",540,29,7,44,5,10,21,1.5
237,mexican-recipes,flan,10 mins,55 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/Flanslice-ad43c01.jpg?quality=90&resize=556,505","Make this creamy, delicious flan inspired by the classic Mexican recipe – it's easy to make and can be prepared a day ahead",288,10,6,39,39,0,10,0.4
238,mexican-recipes,black-bean-turkey-tinga-with-avocado-crema,20 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/11/Black-bean-turkey-tinga-with-avocado-crema-590233d.jpg?quality=90&resize=556,505","Make an easy help-yourself supper which can also be saved as a freezer dinner for another day. It's quite mild, but you can add more chipotle if you like",470,24,5,20,9,10,39,0.64
239,mexican-recipes,healthier-burritos,20 mins,50 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/05/HealthyBurritos-9363d84.jpg?quality=90&resize=556,505","Add shredded cabbage, slaw or sweetcorn salsa for a more wholesome take on a Mexican favourite. Our method for making the beef chilli delivers the best results",568,17,4,69,11,11,29,0.86
240,mexican-recipes,beef-enchiladas,20 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/02/BeefEnchiladas-68c9381.jpg?quality=90&resize=556,505","Serve enchiladas for a Mexican-inspired family feast. Stuffed with beef mince and black beans and topped with melted cheese, they're a guaranteed crowd-pleaser",703,26,11,79,10,12,32,3
241,mexican-recipes,tacos-dorados-de-barbacoa,40 mins,4 hrs and 20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Tacos-Dorados-de-Barbacoa-2b8321a.jpg?quality=90&resize=556,505","Serve these flavour-packed lamb tacos with soured cream, avocado salsa and queso fresco. Top with finely shredded lettuce for an authentic Mexican meal",715,47,9,38,6,8,32,2.7
242,mexican-recipes,sweet-spicy-carrot-tacos,30 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/12/Sweet-and-spicy-carrot-tacos-45790dd.jpg?quality=90&resize=556,505","Invite friends over for taco night and let everyone build their own. The urfa chilli lends a mild, smoky, citrussy depth so it’s well worth seeking out",455,26,10,40,27,10,10,1.88
243,mexican-recipes,mexican-street-corn-soup,15 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Mexican-corn-soup-2a7f0c0.jpg?quality=90&resize=556,505","Serve up a bowl of this spicy Mexican soup for lunch or supper. Made with lime, green chilli and smoked paprika, it's full of interesting flavours",236,9,3,29,12,7,7,1
244,mexican-recipes,chicken-bean-enchiladas,10 mins,55 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chickenbean-enchiladas-1044331.jpg?quality=90&resize=440,400","A family dinner that delivers four of your 5-a-day - tender chicken, red pepper and black beans, wrapped in tortilla, baked in the oven with passata and cheese",484,12,5,54,14,12,34,1.4
245,mexican-recipes,gingerbread-tres-leches-cake,30 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2023/10/Gingerbread-tres-leches-cake-c698bbf.jpg?quality=90&resize=556,505","Give this Mexican-inspired cake a festive twist using ginger and cinnamon. The cake is soaked in a trio of sweetened milks, then topped with whipped cream",376,19,11,43,30,1,7,0.3
246,mexican-recipes,birria-tacos,25 mins,3 hrs and 30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2023/01/Beef-birria-077246e.jpg?quality=90&resize=556,505","Try Mexican-inspired beef birria tacos for dinner, a slow-cooked meat dish with chillies, tomato, onion and spices that create a wonderful, unique flavour",458,27,8,3,3,1,50,2.7
247,mexican-recipes,cheesy-black-bean-quesadillas,15 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Quesdillas-4b45362.jpg?quality=90&resize=556,505","Inspire kids to start cooking with these easy cheesy black bean quesadillas. We've listed all the equipment they'll need, along with an easy-to-follow method",363,12,7,39,2,11,19,1.09
248,mexican-recipes,mexican-fiesta-rice,15 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mexican-fiesta-rice-2b214ba.jpg?quality=90&resize=440,400","Make this tasty Mexican rice to serve a crowd. Our recipe is vegan but if everyone you're cooking for eats meat, some chopped bacon in with the onions works well",164,3,1,29,3,2,4,0.2
249,mexican-recipes,easy-chicken-fajitas,15 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-281601_12-89d51c9.jpg?quality=90&resize=93,84","Need a simple, vibrant midweek meal the family will love? Put together these easy chicken fajitas and people can create their own masterpieces at the table",494,20,4,50,9,8,25,1.49
250,mexican-recipes,spicy-beef-taco-bowl,15 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/03/spicy-beef-taco-2cd04fc.jpg?quality=90&resize=556,505","Get all five of your five-a-day in this Mexican-inspired spicy beef taco bowl. Full of textures and flavours, it can be partly prepped ahead",601,21,6,56,14,16,38,0.4
251,mexican-recipes,mexican-tomato-rice,10 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mexican-rice-0aa8bc0.jpg?quality=90&resize=440,400",Enjoy this easy Mexican tomato rice as a side dish to accompany beef burritos or chilli. You can choose to make it veggie if you like by using vegetable stock,212,3,0.5,39,4,2,7,0.75
252,mexican-recipes,goat-mole-chilli-with-pickled-radishes,25 mins,6 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2024/03/Goat-mole-chilli-with-pickled-radishes-b07e133.jpg?quality=90&resize=556,505","Pair tender goat meat with a dark, smoky and rich mole. Don’t skimp on the accompanying pickled radishes – the sharpness really brings the dish to life",259,10,3,12,10,2,29,0.9
253,mexican-recipes,tres-leches-cake,30 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/06/tres-leches-cake-2b6fd86.jpg?quality=90&resize=440,400","Bake a classic Mexican tres leches cake, sometimes called milk cake, for an afternoon treat or coffee morning – it gets its name from the three types of milk used",301,15,9,34,25,1,6,0.3
254,mexican-recipes,black-bean-tostadas-avocado-salsa,10 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-851472_11-b01f343.jpg?quality=90&resize=440,400","For a quick veggie health-boost make this speedy supper using flavourful corn tortillas, which make a really nice change from flour tortillas",675,17,7,91,18,15,27,0.6
255,mexican-recipes,pasilla-mole,20 mins,1 hr and 30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/PasillaMole-4a24faf.jpg?quality=90&resize=556,505","Make one of Mexico's most iconic recipes, mole, a sauce made with chillies, spices and dark chocolate. Use as a topping on enchiladas and meat",228,16,5,11,8,5,7,1.39
256,mexican-recipes,best-ever-chunky-guacamole,10 mins,Not Available,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-10725_11-e224754.jpg?quality=90&resize=93,84","This is the best version of this classic guacamole dip. The ingredients are kept to a minimum, so it's as fresh-tasting as possible.",103,10,1,2,0,2,1,0
257,mexican-recipes,prawn-chorizo-quesadilla,10 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/prawn-chorizo-quesadilla-8e5f2ba.jpg?quality=90&resize=440,400","Pack this flavourful prawn, chorizo and chipotle filling into quesadillas to make a tasty Mexican-inspired snack or lunch. They're perfect for a light supper, too",384,20,6,27,6,4,22,2.3
258,mexican-recipes,shredded-beef-chilli-taco-bowls,15 mins,5 hrs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/beef-taco-bowls-9fcb676.jpg?quality=90&resize=440,400",Serve these crunchy taco bowls with a choice of toppings for a flavour-packed crowd-pleaser. You won't need plates – just lots of napkins,741,21,8,78,23,15,52,1.4
259,mexican-recipes,smoky-veggie-nachos,25 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/smoky-veggie-nachos-cb5f0cc.jpg?quality=90&resize=440,400","Serve a sharing platter of vegetarian nachos at your next informal drinks party. Unlike most party food, these nachos are healthy, boasting plenty of folate, fibre and vitamin c",292,11,2,37,8,7,9,0.7
260,moroccan-recipes,moroccan-meatball-tagine-lemon-olives,25 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-871475_11-009f344.jpg?quality=90&resize=440,400",A wonderfully aromatic North African lamb casserole with a citrus tang - great for dinner parties,394,26,9,11,8,3,31,1.7
261,moroccan-recipes,aromatic-lamb-dates,5 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-8567_10-d7275af.jpg?quality=90&resize=440,400","A warming one-pot with a Moroccan feel, perfect served with couscous",343,14,5,30,15,3,28,0.35
262,moroccan-recipes,pumpkin-cranberry-red-onion-tagine,20 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-513471_11-19654e4.jpg?quality=90&resize=440,400","Comfort food without the calories, easily doubled or tripled to feed a crowd",449,16,2,67,23,6,13,1.93
263,moroccan-recipes,moroccan-spiced-fish-ginger-mash,10 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-13611_11-c8f97a7.jpg?quality=90&resize=440,400",Spice up white fish fillets with a flavoured butter and serve with fluffy sweet potato mash,445,7,3,65,17,0,36,0.67
264,moroccan-recipes,moroccan-haira,15 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/moroccan-harira-e029bd0.jpg?quality=90&resize=440,400","This is a healthy vegetarian version of the classic Moroccan soup with plenty of cumin, turmeric and cinnamon, each offering different health benefits, plus it's low in fat and calories too",335,6,1,48,21,13,16,0.2
265,moroccan-recipes,speedy-moroccan-meatballs,5 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4316_12-97fac24.jpg?quality=90&resize=440,400",A great twist on meatballs for a quick and tasty supper,388,25,9,24,17,6,18,1.58
266,moroccan-recipes,moroccan-roast-lamb-roasted-roots-coriander,15 mins,55 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/moroccan-roast-lamb-with-roasted-roots-coriander-3850f37.jpg?quality=90&resize=440,400",Serve up this tasty Moroccan roast lamb dish for a low-calorie main that delivers stacks of flavour and three of your 5-a-day,446,20,5,18,10,10,45,
267,moroccan-recipes,easy-chicken-tagine,10 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-52383_11-427dca7.jpg?quality=90&resize=440,400",Simple one-pots are perfect for the busy cook. This chicken tagine is great eaten with cous cous for something a bit more filling,304,11,3,14,12,3,39,0.48
268,moroccan-recipes,moroccan-spiced-pie,1 hr and 30 mins,35 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-424498_12-e6c03cf.jpg?quality=90&resize=440,400",The perfect showpiece to your Christmas Day meal - and it's suitable for veggies,987,66,15,82,13,7,21,1.64
